Employee_Name,EmpID,DeptID,PerfScoreID,Salary,ManagerName,ManagerID,DateofHire,EmpStatus,Email
"Spirea, Kelley",10090,5,3,65714,Janet King,2,10/2/12,PT,Spirea@corpmail.com
"Squatrito, Kristen",10030,5,4,62425,David Stanley,14,5/13/2013,C,Squatrito@corpmail.com
"Stanford, Barbara ",10278,5,3,47961,Kissy Sullivan,20,1/10/11,C,Stanford@corpmail.com
"Stansfield, Norman",10307,6,1,58273,Lynn Daneault,21,5/12/14,FT,Stansfield@corpmail.com
"Steans, Tyrone  ",10147,1,3,63003,Brandon R. LeBlanc,1,9/29/2014,FT,Steans@corpmail.com
"Stoica, Rick",10266,5,3,61355,Kelley Spirea,18,2/17/2014,FT,Stoica@corpmail.com
"Strong, Caitrin",10241,6,3,60120,John Smith,17,9/27/2010,FT,Strong@corpmail.com
"Sullivan, Kissy ",10158,5,3,63682,Janet King,2,1/8/09,PT,Sullivan@corpmail.com
"Sullivan, Timothy",10117,5,3,63025,Michael Albert,22,1/5/15,PT,Sullivan@corpmail.com
"Sutwell, Barbara",10209,5,3,59238,Elijiah Gray,16,5/14/2012,FT,Sutwell@corpmail.com
"Szabo, Andrew",10024,4,4,92989,Alex Sweetwater,10,7/7/14,PT,Szabo@corpmail.com
"Tannen, Biff",10173,3,3,90100,Brian Champaigne,13,4/20/2017,C,Tannen@corpmail.com
"Tavares, Desiree  ",10221,5,3,60754,Webster Butler,39,4/27/2009,C,Tavares@corpmail.com
"Tejeda, Lenora ",10146,5,3,72202,Elijiah Gray,16,5/16/2011,FT,Tejeda@corpmail.com
"Terry, Sharlene ",10161,6,3,58370,Lynn Daneault,21,9/29/2014,FT,Terry@corpmail.com
"Theamstern, Sophia",10141,5,3,48413,Amy Dunn,11,7/5/11,FT,Theamstern@corpmail.com
"Thibaud, Kenneth",10268,5,3,67176,Webster Butler,39,6/25/2007,FT,Thibaud@corpmail.com
"Tippett, Jeanette",10123,5,3,56339,Brannon Miller,12,2/18/2013,PT,Tippett@corpmail.com
"Torrence, Jack",10013,6,4,64397,Lynn Daneault,21,1/9/06,PT,Torrence@corpmail.com
"Trang, Mei",10287,5,2,63025,David Stanley,14,2/17/2014,FT,Trang@corpmail.com
"Tredinnick, Neville ",10044,3,3,75281,Peter Monroe,7,1/5/15,FT,Tredinnick@corpmail.com
"True, Edward",10102,4,3,100416,Alex Sweetwater,10,2/18/2013,PT,True@corpmail.com
"Trzeciak, Cybil",10270,5,3,74813,Amy Dunn,11,1/10/11,C,Trzeciak@corpmail.com
"Turpin, Jumil",10045,3,3,76029,Peter Monroe,7,3/30/2015,C,Turpin@corpmail.com
"Valentin, Jackie",10205,6,3,57859,John Smith,17,7/5/11,FT,Valentin@corpmail.com
"Veera, Abdellah ",10014,5,4,58523,Kissy Sullivan,20,8/13/2012,FT,Veera@corpmail.com
"Vega, Vincent",10144,5,3,88976,Janet King,2,8/1/11,FT,Vega@corpmail.com
"Villanueva, Noah",10253,6,3,55875,John Smith,17,3/5/12,FT,Villanueva@corpmail.com
"Voldemort, Lord",10118,3,3,113999,Simon Roup,4,2/16/2015,PT,Voldemort@corpmail.com
"Volk, Colleen",10022,5,4,49773,Kelley Spirea,18,9/26/2011,PT,Volk@corpmail.com
"Von Massenbach, Anna",10183,5,3,62068,Michael Albert,22,7/5/15,FT,Von Massenbach@corpmail.com
"Walker, Roger",10190,5,3,66541,Ketsia Liebig,19,8/18/2014,PT,Walker@corpmail.com
"Wallace, Courtney",10274,5,3,80512,Janet King,2,9/26/2011,C,Wallace@corpmail.com
"Wallace, Theresa",10293,5,2,50274,Elijiah Gray,16,8/13/2012,C,Wallace@corpmail.com
"Wang, Charlie",10172,3,3,84903,Brian Champaigne,13,2/15/2017,FT,Wang@corpmail.com
"Warfield, Sarah",10127,3,3,107226,Peter Monroe,7,3/30/2015,FT,Warfield@corpmail.com
"Whittier, Scott",10072,5,3,58371,Webster Butler,39,1/10/11,FT,Whittier@corpmail.com
"Wilber, Barry",10048,5,3,55140,Amy Dunn,11,5/16/2011,FT,Wilber@corpmail.com
"Wilkes, Annie",10204,5,3,58062,Ketsia Liebig,19,1/10/11,PT,Wilkes@corpmail.com
"Williams, Jacquelyn  ",10264,5,3,59728,Ketsia Liebig,19,1/9/12,PT,Williams@corpmail.com
"Winthrop, Jordan  ",10033,5,4,70507,Brannon Miller,12,1/7/13,FT,Winthrop@corpmail.com
"Wolk, Hang",10174,5,3,60446,David Stanley,14,9/29/2014,FT,Wolk@corpmail.com
"Woodson, Jason",10135,5,3,65893,Kissy Sullivan,20,7/7/14,PT,Woodson@corpmail.com
"Ybarra, Catherine ",10301,5,1,48513,Brannon Miller,12,9/2/08,C,Ybarra@corpmail.com
"Zamora, Jennifer",10010,3,4,220450,Janet King,2,4/10/10,C,Zamora@corpmail.com
"Zhou, Julia",10043,3,3,89292,Simon Roup,4,3/30/2015,FT,Zhou@corpmail.com
"Zima, Colleen",10271,5,3,45046,David Stanley,14,9/29/2014,FT,Zima@corpmail.com
